# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,35.5,3.84,19.75,2.77,20.25,3.27,cycling
250,33.5,12.99,16.5,4.72,22.5,1.5,cycling
500,42.0,0.0,9.0,3.67,20.25,1.3,cycling
750,41.5,1.5,12.33,0.47,18.0,2.45,cycling
1000,35.25,2.49,19.5,3.35,24.25,0.43,cycling
1250,36.0,0.0,20.25,3.34,18.25,2.38,cycling
1500,36.25,2.49,16.67,4.64,22.33,2.36,cycling
1750,34.75,5.21,18.5,4.92,19.25,4.26,cycling
2000,40.67,1.25,15.5,3.91,23.67,2.05,cycling
2250,42.67,0.47,9.0,2.0,20.25,0.83,cycling
2500,43.75,1.64,9.75,3.27,15.5,4.15,cycling
2750,35.75,3.27,17.5,3.91,18.5,3.91,cycling
3000,35.25,1.3,21.5,2.69,19.5,1.5,cycling
3250,35.25,1.3,16.5,1.12,22.25,0.83,cycling
3500,37.75,3.27,19.75,2.77,19.75,0.83,cycling
3750,39.0,2.12,16.25,5.12,21.0,7.07,cycling
4000,42.5,0.87,10.0,4.0,19.67,0.94,cycling
4250,41.5,2.5,11.25,3.03,15.75,3.9,cycling
4500,36.67,0.94,17.25,3.42,22.33,2.49,cycling
4750,36.75,0.83,22.75,1.3,19.0,2.92,cycling
5000,36.33,0.47,19.25,0.83,17.0,0.82,cycling
5250,35.0,1.41,20.33,0.94,21.75,1.79,cycling
5500,37.5,3.35,22.5,2.06,22.0,1.0,cycling
5750,38.75,1.79,18.5,4.39,21.75,3.9,cycling
6000,42.25,1.79,7.0,2.74,17.0,2.92,cycling
6250,39.0,4.24,14.75,2.59,22.25,2.05,cycling
6500,36.0,0.0,24.0,0.0,18.67,5.19,cycling
6750,36.67,0.47,19.5,1.5,19.67,0.94,cycling
7000,34.5,1.5,20.25,0.83,23.0,1.22,cycling
7250,34.75,2.95,22.0,1.58,22.0,2.12,cycling
7500,31.33,7.85,18.67,4.99,22.25,2.38,cycling
7750,41.5,0.87,11.0,5.05,21.75,1.48,cycling
8000,44.0,1.22,12.5,3.5,14.0,6.44,cycling
8250,36.75,3.27,19.0,3.39,23.75,1.79,cycling
8500,36.0,0.0,21.5,2.18,18.75,1.3,cycling
8750,33.75,1.3,18.25,1.64,22.25,0.83,cycling
9000,37.5,3.84,21.75,3.34,20.5,0.87,cycling
9250,38.75,1.79,14.5,7.37,20.5,5.36,cycling
9500,41.75,0.43,9.0,1.0,18.67,0.47,cycling
9750,41.0,1.73,11.0,0.0,15.75,2.86,cycling
10000,34.0,2.94,17.25,3.96,23.0,0.82,cycling
10250,36.0,0.0,21.25,2.38,18.0,3.67,cycling
10500,35.25,1.3,19.25,3.11,21.25,2.05,cycling
10750,34.5,1.5,20.0,4.97,22.0,3.56,cycling
11000,35.0,8.75,16.75,4.76,21.75,2.86,cycling
11250,43.0,1.58,9.5,1.12,18.0,5.79,cycling
11500,39.0,4.24,13.67,2.36,19.0,5.05,cycling
11750,36.0,0.0,21.5,2.29,19.5,3.84,cycling
12000,36.0,0.0,16.33,1.89,21.0,0.0,cycling
12250,33.75,1.3,18.5,2.29,18.5,0.5,cycling
12500,36.67,2.62,20.67,2.49,18.0,4.32,cycling
12750,39.5,1.12,15.5,5.5,21.0,1.87,cycling
13000,42.33,0.47,13.0,1.0,20.0,1.73,cycling
13250,43.0,2.83,13.33,1.89,17.0,1.41,cycling
13500,35.25,2.49,18.0,4.47,21.5,2.5,cycling
13750,36.0,0.0,18.25,3.77,19.0,1.22,cycling
14000,35.5,2.87,16.75,4.15,20.5,1.5,cycling
14250,36.0,3.67,20.25,2.68,17.75,5.85,cycling
14500,40.75,1.09,14.0,2.35,22.0,1.22,cycling
14750,43.5,1.12,11.0,1.73,16.5,4.56,cycling
15000,39.5,4.27,16.67,1.25,22.67,1.89,cycling
15250,35.25,1.3,22.0,2.83,18.33,5.79,cycling
15500,36.0,0.0,20.0,2.12,19.0,2.16,cycling
15750,36.25,1.09,21.0,0.0,22.75,1.3,cycling
16000,34.33,5.44,18.33,6.6,23.0,1.58,cycling
16250,41.33,0.94,12.0,3.0,22.0,1.0,cycling
16500,43.0,0.71,6.33,2.49,19.5,2.06,cycling
16750,43.25,2.49,11.25,4.15,12.25,2.17,cycling
17000,35.25,2.49,18.75,3.03,22.5,2.69,cycling
17250,36.0,0.0,19.0,4.06,19.0,2.83,cycling
17500,36.75,1.3,18.75,4.02,20.75,1.79,cycling
17750,35.33,4.11,21.67,1.25,19.0,5.2,cycling
18000,40.25,1.09,11.75,6.98,18.25,3.49,cycling
18250,42.33,0.47,11.0,0.0,17.0,1.0,cycling
18500,39.0,4.64,14.0,3.74,15.0,3.67,cycling
18750,35.25,1.3,20.0,4.24,20.25,2.59,cycling
19000,36.0,0.0,18.25,1.92,20.67,0.47,cycling
19250,36.75,3.9,20.25,1.48,20.25,1.3,cycling
19500,37.33,1.25,17.0,2.83,18.5,4.15,cycling
19750,41.0,1.22,13.75,1.79,22.0,0.82,cycling
20000,42.67,0.94,6.75,3.27,22.75,0.83,cycling
