# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,29.0,0.0,9.0,0.71,8.5,0.5,lying
250,29.0,0.0,8.0,0.71,8.5,0.5,lying
500,29.0,0.0,8.0,0.71,8.0,1.0,lying
750,28.5,0.5,8.25,0.43,8.75,0.43,lying
1000,29.0,0.0,8.75,1.09,9.0,0.0,lying
1250,29.0,0.0,8.75,1.09,9.0,0.0,lying
1500,29.0,0.0,8.75,1.09,9.0,0.0,lying
1750,29.0,0.0,8.53,0.62,8.8,0.54,lying
2000,29.0,0.0,8.53,0.62,8.8,0.54,lying
2250,29.0,0.0,8.5,0.5,8.5,0.5,lying
2500,29.0,0.0,7.25,0.43,8.75,0.43,lying
2750,29.0,0.0,7.25,0.43,9.0,0.0,lying
3000,29.0,0.0,7.0,0.0,8.75,0.43,lying
3250,29.0,0.0,7.33,0.47,8.67,0.47,lying
3500,29.0,0.0,8.5,0.5,8.75,0.43,lying
3750,29.0,0.0,8.5,0.5,9.0,0.0,lying
4000,29.0,0.0,7.5,0.5,8.67,0.47,lying
4250,29.0,0.0,7.75,0.43,8.5,0.5,lying
4500,29.0,0.0,6.67,0.94,8.5,0.5,lying
4750,29.0,0.0,6.5,0.5,8.5,0.5,lying
5000,29.0,0.0,6.5,0.87,9.25,0.43,lying
5250,28.75,0.43,6.75,0.83,9.0,0.0,lying
5500,28.75,0.43,7.25,0.83,9.0,0.0,lying
5750,28.75,0.43,7.25,1.09,9.0,0.0,lying
6000,29.0,0.0,6.67,0.47,9.0,0.0,lying
6250,29.0,0.0,7.0,0.71,8.5,0.5,lying
6500,28.75,0.43,8.0,0.82,9.0,0.0,lying
6750,29.0,0.0,8.0,1.0,8.5,0.5,lying
7000,29.0,0.0,7.2,1.17,8.5,0.5,lying
7250,29.0,0.0,7.75,1.09,9.0,0.0,lying
7500,29.0,0.0,4.67,0.47,9.75,1.3,lying
7750,29.0,0.0,4.0,1.63,11.0,0.82,lying
8000,28.75,0.43,5.0,0.0,10.0,1.0,lying
8250,29.0,0.0,3.0,0.82,7.5,0.87,lying
8500,29.0,0.0,4.0,0.0,4.75,1.3,lying
8750,29.0,0.0,6.0,2.0,9.0,3.54,lying
9000,28.5,0.5,4.75,1.3,9.25,2.17,lying
9250,29.0,0.0,6.0,2.45,5.75,1.48,lying
9500,29.0,0.0,6.25,2.68,7.5,1.5,lying
9750,29.0,0.0,8.5,1.8,9.25,0.43,lying
10000,28.75,0.43,7.0,2.12,11.0,1.22,lying
10250,29.0,0.0,7.25,1.3,10.75,1.09,lying
10500,29.0,0.0,6.67,0.47,11.67,0.47,lying
10750,29.25,0.43,5.0,2.16,10.67,1.25,lying
11000,29.0,0.0,6.25,1.3,11.25,0.83,lying
11250,29.0,0.0,4.0,1.0,9.67,0.47,lying
11500,29.5,0.5,5.6,0.8,10.4,1.02,lying
11750,29.75,0.43,6.0,0.0,10.0,0.82,lying
12000,29.75,0.43,5.5,0.87,11.5,0.5,lying
12250,29.33,0.47,6.25,0.83,12.0,0.0,lying
12500,29.0,0.0,7.75,0.83,11.75,0.43,lying
12750,28.75,0.43,8.25,0.83,11.75,0.43,lying
13000,28.67,0.47,8.33,0.47,11.25,0.83,lying
13250,28.5,0.5,8.75,0.43,11.25,0.43,lying
13500,28.67,0.47,8.0,0.82,11.5,0.5,lying
13750,28.75,0.43,6.5,1.12,11.0,1.22,lying
14000,29.75,0.43,6.5,1.8,12.25,0.43,lying
14250,29.0,0.0,6.0,0.71,12.0,0.0,lying
14500,29.25,0.43,3.67,0.47,11.5,1.8,lying
14750,29.5,0.87,3.0,2.16,11.75,1.09,lying
15000,28.5,0.87,5.0,2.55,12.0,0.0,lying
15250,28.5,1.12,7.0,2.12,11.0,0.71,lying
15500,27.75,0.83,7.0,2.0,9.67,0.94,lying
15750,26.5,0.5,7.33,2.36,11.5,0.5,lying
16000,26.5,0.87,7.33,1.25,12.25,1.09,lying
16250,27.0,0.0,6.5,3.57,10.25,1.3,lying
16500,26.0,0.82,5.0,1.0,9.0,1.41,lying
16750,26.67,0.47,8.0,0.82,8.0,0.71,lying
17000,28.25,0.43,8.0,3.0,6.33,1.25,lying
17250,28.0,0.71,4.25,1.48,7.25,1.48,lying
17500,29.5,0.5,0.0,0.0,8.0,1.87,lying
17750,29.75,0.43,3.5,1.5,9.5,0.87,lying
18000,29.25,1.3,4.67,2.87,9.5,1.5,lying
18250,26.25,1.48,2.5,1.12,10.25,1.09,lying
18500,27.0,0.0,5.33,3.3,6.75,2.59,lying
18750,27.0,0.0,11.75,0.43,6.75,1.3,lying
19000,27.25,0.43,10.75,1.09,6.5,1.12,lying
19250,27.25,0.43,10.25,0.83,6.0,0.71,lying
19500,28.5,1.12,6.25,1.09,6.25,1.48,lying
19750,27.5,0.87,4.5,1.5,7.33,1.25,lying
20000,26.75,0.43,3.0,0.82,10.0,1.0,lying
20250,26.5,0.5,4.33,0.47,10.33,0.47,lying
20500,25.75,0.83,0.0,0.0,9.33,1.25,lying
20750,27.0,0.0,10.0,1.0,7.25,1.79,lying
21000,25.75,0.83,3.5,0.5,8.5,0.5,lying
21250,27.0,0.0,7.75,1.09,9.33,0.47,lying
21500,27.0,0.0,3.0,0.0,10.33,0.94,lying
21750,25.25,0.83,4.0,0.82,9.5,1.12,lying
22000,24.5,0.5,5.0,1.58,8.75,0.43,lying
22250,24.5,0.5,6.33,2.05,8.5,0.5,lying
22500,26.0,1.22,5.5,2.5,9.0,0.0,lying
22750,27.0,0.0,5.33,0.94,8.75,0.43,lying
23000,27.0,0.0,6.75,0.43,8.5,0.5,lying
23250,27.0,0.0,7.0,0.0,9.0,0.0,lying
23500,27.0,0.0,6.5,0.5,9.0,0.0,lying
23750,27.0,0.0,7.25,1.09,9.0,0.0,lying
24000,27.0,0.0,8.0,0.0,8.33,0.47,lying
24250,27.0,0.0,8.0,0.71,9.0,0.0,lying
24500,27.0,0.0,7.0,0.71,8.75,0.43,lying
24750,27.0,0.0,7.75,0.83,9.25,0.43,lying
25000,27.0,0.0,8.33,0.47,9.0,0.0,lying
25250,27.0,0.0,8.5,0.5,9.0,0.0,lying
25500,27.0,0.0,7.5,0.5,8.75,0.43,lying
25750,27.0,0.0,6.25,0.43,8.75,0.43,lying
26000,27.0,0.0,6.25,0.43,8.75,0.43,lying
26250,27.0,0.0,8.33,0.47,9.0,0.0,lying
26500,27.0,0.0,6.75,0.83,9.0,0.0,lying
26750,27.0,0.0,7.0,0.71,9.0,0.0,lying
27000,27.0,0.0,8.33,0.94,9.0,0.0,lying
27250,27.0,0.0,8.33,0.94,9.0,0.0,lying
27500,27.0,0.0,5.0,0.82,8.33,0.94,lying
27750,27.0,0.0,7.5,0.5,7.75,0.43,lying
28000,27.0,0.0,7.0,0.0,7.5,1.12,lying
28250,27.0,0.0,7.0,1.22,9.0,0.0,lying
28500,27.0,0.0,7.75,0.83,8.5,0.5,lying
28750,27.0,0.0,8.0,0.71,8.75,0.43,lying
29000,27.0,0.0,7.0,1.0,8.75,0.43,lying
29250,27.0,0.0,6.5,0.87,9.0,0.0,lying
29500,27.0,0.0,6.67,0.94,9.0,0.0,lying
29750,27.0,0.0,7.0,0.82,9.0,0.0,lying
30000,27.0,0.0,7.0,0.0,9.0,0.0,lying
30250,27.0,0.0,7.67,0.47,9.0,0.0,lying
30500,27.0,0.0,8.0,0.71,8.5,0.5,lying
30750,27.0,0.0,7.25,0.43,9.0,0.0,lying
31000,27.0,0.0,6.67,0.47,8.5,0.87,lying
31250,27.0,0.0,6.0,0.0,8.25,0.43,lying
31500,27.0,0.0,7.0,0.71,8.5,0.5,lying
31750,27.0,0.0,6.75,0.43,8.5,0.5,lying
32000,27.0,0.0,6.67,0.94,8.33,0.47,lying
32250,27.0,0.0,6.75,0.43,8.75,0.43,lying
32500,27.0,0.0,6.25,0.43,9.0,0.0,lying
32750,27.0,0.0,6.5,0.5,8.75,0.43,lying
33000,27.0,0.0,6.75,0.83,8.67,0.47,lying
33250,27.0,0.0,7.75,0.83,8.5,0.5,lying
33500,27.0,0.0,7.25,0.43,8.5,0.5,lying
33750,27.0,0.0,7.33,0.47,8.5,0.5,lying
34000,27.0,0.0,8.0,0.71,8.5,0.5,lying
34250,27.0,0.0,7.0,0.82,8.5,0.5,lying
