# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,37.25,0.83,10.33,2.87,17.0,1.22,sitting
250,37.67,1.25,15.5,0.87,15.0,2.45,sitting
500,37.25,1.3,15.25,0.83,14.25,1.3,sitting
750,37.33,1.25,12.67,0.47,10.5,2.87,sitting
1000,38.0,0.71,16.0,1.87,14.0,3.24,sitting
1250,37.75,1.3,21.0,0.0,15.75,2.28,sitting
1500,37.75,0.83,18.5,1.5,16.75,1.3,sitting
1750,38.25,0.83,17.0,1.22,18.5,2.5,sitting
2000,39.0,0.0,15.5,0.87,20.0,1.0,sitting
2250,38.75,0.43,16.0,0.0,18.5,0.5,sitting
2500,38.0,1.0,17.75,1.09,18.25,0.43,sitting
2750,38.0,1.0,13.67,2.36,17.67,0.94,sitting
3000,38.0,1.0,17.33,1.7,11.33,2.36,sitting
3250,37.75,1.3,17.67,0.47,9.0,0.82,sitting
3500,37.5,1.12,12.33,1.7,13.25,1.3,sitting
3750,36.25,0.43,16.25,2.68,10.33,0.94,sitting
4000,43.75,2.95,16.0,1.22,9.75,0.83,sitting
4250,42.67,0.94,15.0,2.45,20.67,0.47,sitting
4500,41.67,0.47,17.33,1.7,19.5,0.5,sitting
4750,42.2,0.98,19.4,3.93,19.25,1.48,sitting
5000,40.25,0.83,24.0,0.0,21.5,2.06,sitting
5250,42.75,1.48,24.0,0.0,22.5,1.12,sitting
5500,44.33,0.47,24.0,0.0,23.75,0.43,sitting
5750,43.75,0.83,24.0,0.0,25.0,1.22,sitting
6000,44.5,0.5,23.5,0.87,21.0,3.54,sitting
6250,44.75,0.43,20.25,1.92,12.0,6.96,sitting
6500,45.0,0.0,19.75,1.09,19.75,2.49,sitting
6750,44.75,0.43,18.5,1.5,17.0,1.22,sitting
7000,44.5,0.5,18.0,3.0,13.25,3.03,sitting
7250,45.0,0.0,19.67,1.25,16.67,3.4,sitting
7500,45.25,0.43,17.5,1.5,12.0,2.0,sitting
7750,46.5,0.5,13.0,0.82,10.33,4.19,sitting
8000,46.25,0.43,16.0,0.71,13.0,0.71,sitting
8250,46.25,0.83,15.0,0.0,13.0,0.82,sitting
8500,46.0,0.71,15.0,0.0,14.75,1.09,sitting
8750,46.0,0.71,13.67,1.7,9.25,1.92,sitting
9000,45.75,0.83,7.75,2.68,11.75,0.83,sitting
9250,45.5,0.5,9.67,2.62,15.33,1.89,sitting
9500,45.33,0.47,9.67,2.62,11.0,7.0,sitting
9750,45.4,0.49,9.8,2.32,9.5,3.5,sitting
10000,45.5,0.5,15.5,1.5,15.5,2.87,sitting
10250,45.5,0.5,12.33,3.4,17.33,1.25,sitting
10500,45.5,0.5,13.25,1.3,10.0,1.22,sitting
10750,45.5,0.5,11.75,2.17,11.75,0.43,sitting
11000,45.0,0.0,5.75,3.56,21.75,1.48,sitting
11250,45.25,0.43,11.33,3.3,18.5,2.29,sitting
11500,45.5,0.5,15.75,0.43,19.25,1.79,sitting
11750,45.67,0.47,13.5,1.12,18.0,0.0,sitting
12000,45.75,0.83,12.5,0.5,18.5,0.5,sitting
12250,45.67,0.47,13.0,0.82,20.0,1.22,sitting
12500,45.5,0.5,11.75,0.43,20.75,0.43,sitting
12750,45.5,0.5,12.0,0.0,21.0,0.0,sitting
13000,45.5,0.5,10.0,0.82,21.0,0.0,sitting
13250,45.5,0.5,8.5,0.5,20.5,0.87,sitting
13500,45.5,0.5,5.25,1.92,19.75,0.83,sitting
13750,45.25,0.43,10.5,1.66,16.5,1.12,sitting
14000,45.0,0.0,12.25,0.43,13.0,1.0,sitting
14250,45.0,0.0,12.0,0.0,10.33,1.25,sitting
14500,45.0,0.0,17.0,1.22,4.0,1.41,sitting
14750,45.0,0.0,18.5,0.5,9.67,1.7,sitting
15000,45.0,0.0,18.5,0.5,12.75,1.09,sitting
15250,45.0,0.0,17.67,0.47,12.75,1.3,sitting
15500,45.0,0.0,15.0,0.0,15.0,1.87,sitting
15750,45.0,0.0,14.75,0.43,17.25,0.83,sitting
16000,45.0,0.0,14.75,0.83,15.75,0.43,sitting
16250,45.0,0.0,14.0,1.58,17.75,1.09,sitting
16500,45.0,0.0,12.0,0.0,18.75,0.83,sitting
16750,45.0,0.0,11.33,0.47,18.0,0.0,sitting
17000,45.0,0.0,13.25,1.3,17.0,0.82,sitting
17250,45.0,0.0,15.0,0.82,15.5,0.87,sitting
17500,45.0,0.0,12.75,0.83,15.75,0.83,sitting
17750,45.0,0.0,12.75,0.83,17.5,0.87,sitting
18000,45.0,0.0,14.5,0.5,18.0,0.0,sitting
18250,45.0,0.0,15.75,0.83,15.0,1.22,sitting
18500,45.0,0.0,15.25,2.05,14.25,1.3,sitting
18750,45.0,0.0,9.75,1.09,18.75,1.64,sitting
19000,45.25,0.43,8.0,1.22,20.25,0.43,sitting
19250,45.0,0.0,6.25,0.43,20.75,0.43,sitting
19500,45.33,0.47,2.0,0.0,20.67,0.47,sitting
19750,45.25,0.43,3.0,0.0,20.25,0.83,sitting
20000,45.25,0.43,5.25,0.83,20.0,1.22,sitting
20250,45.25,0.43,10.25,1.79,15.25,0.83,sitting
20500,45.0,0.0,12.5,2.29,17.67,0.47,sitting
20750,45.33,0.47,8.33,2.49,19.0,0.82,sitting
21000,45.5,0.5,14.25,0.43,18.0,0.0,sitting
21250,46.25,0.43,16.5,1.5,18.5,1.5,sitting
21500,45.75,0.43,18.25,0.83,20.25,0.83,sitting
21750,45.67,0.47,9.5,3.5,21.5,0.5,sitting
22000,45.5,0.5,7.0,3.16,23.25,0.83,sitting
22250,45.5,0.5,10.25,1.09,23.5,0.5,sitting
22500,45.25,0.43,10.25,0.83,21.25,0.43,sitting
22750,45.5,0.5,6.75,1.48,18.75,0.83,sitting
23000,46.0,0.0,6.5,0.87,19.25,0.83,sitting
23250,45.75,0.43,6.75,1.48,19.25,0.83,sitting
23500,45.5,0.5,3.67,1.25,20.0,0.71,sitting
23750,45.5,0.5,2.33,1.25,20.25,0.43,sitting
24000,45.5,0.5,2.0,0.0,20.75,0.43,sitting
24250,46.0,0.71,2.0,0.0,21.0,0.0,sitting
24500,45.75,0.83,0.0,0.0,21.5,0.5,sitting
24750,45.75,0.43,2.0,0.0,21.33,0.47,sitting
25000,46.0,0.0,2.5,0.5,21.0,0.0,sitting
25250,45.67,0.47,3.0,0.0,20.5,0.87,sitting
25500,46.0,0.71,1.0,0.0,20.5,0.5,sitting
25750,45.5,0.5,0.0,0.0,20.5,0.5,sitting
26000,45.5,0.5,1.33,0.47,20.0,1.22,sitting
26250,46.0,0.71,7.25,2.68,19.5,0.5,sitting
26500,45.75,0.83,11.5,0.5,20.25,0.43,sitting
26750,45.5,0.5,10.0,0.82,21.0,0.0,sitting
