# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,41.5,0.5,20.67,0.47,14.33,0.47,standing
250,41.5,0.5,20.0,0.0,15.25,0.43,standing
500,41.5,0.5,20.25,0.43,15.75,0.43,standing
750,41.67,0.47,20.75,0.43,17.5,0.5,standing
1000,41.5,0.5,21.0,0.0,16.5,1.12,standing
1250,41.33,0.47,20.67,0.47,15.5,0.5,standing
1500,41.75,0.43,20.75,0.43,16.25,0.83,standing
1750,41.5,0.5,20.75,0.43,16.0,0.71,standing
2000,42.0,0.0,20.75,0.43,16.5,0.5,standing
2250,42.0,0.0,20.75,0.43,17.0,0.71,standing
2500,42.0,0.0,21.0,0.0,16.25,0.83,standing
2750,42.0,0.0,21.0,0.0,15.75,0.83,standing
3000,41.75,0.43,21.0,0.0,15.0,0.0,standing
3250,41.0,0.82,21.0,0.0,15.33,0.47,standing
3500,41.5,0.5,20.75,0.43,13.75,0.83,standing
3750,42.0,0.0,21.0,0.0,11.25,1.48,standing
4000,42.0,0.0,21.0,0.0,10.75,0.83,standing
4250,41.5,0.5,21.25,0.43,11.5,1.12,standing
4500,40.5,1.12,21.0,0.0,14.25,1.48,standing
4750,40.5,0.5,21.0,0.0,15.25,1.09,standing
5000,40.0,0.71,21.0,0.0,17.0,0.71,standing
5250,40.5,0.5,21.0,0.0,15.25,0.83,standing
5500,41.0,1.0,21.0,0.0,15.5,0.5,standing
5750,40.0,1.0,21.0,0.0,15.25,0.43,standing
6000,41.0,0.71,21.0,0.0,15.0,0.82,standing
6250,41.25,0.83,21.0,0.0,15.25,0.43,standing
6500,40.67,0.47,20.5,0.5,14.0,1.41,standing
6750,40.25,0.83,21.0,0.0,13.5,1.5,standing
7000,40.5,0.5,21.0,0.0,14.25,1.3,standing
7250,40.67,0.94,21.0,0.0,14.75,1.09,standing
7500,41.0,1.0,21.0,0.0,15.25,0.43,standing
7750,41.5,0.5,21.0,0.0,16.25,0.83,standing
8000,41.25,0.83,21.0,0.0,14.75,1.09,standing
8250,40.5,0.5,20.25,0.43,15.5,0.87,standing
8500,40.75,0.83,20.0,0.0,15.75,0.83,standing
8750,41.0,0.71,19.75,0.43,15.25,0.43,standing
9000,41.5,0.5,20.33,0.47,14.67,0.47,standing
9250,41.25,0.83,20.5,0.5,15.25,0.43,standing
9500,40.75,0.83,19.75,0.43,15.25,0.43,standing
9750,41.0,0.82,18.25,0.43,15.0,0.0,standing
10000,41.0,1.0,19.0,0.0,13.25,1.09,standing
10250,40.75,0.83,19.0,0.0,12.0,0.0,standing
10500,41.0,0.71,20.25,0.43,12.5,0.5,standing
10750,41.5,0.5,20.25,0.43,9.5,2.29,standing
11000,41.5,0.5,18.75,0.43,7.67,0.47,standing
11250,40.67,0.94,18.33,0.47,6.0,0.82,standing
11500,40.25,0.83,18.25,0.43,9.5,0.5,standing
11750,39.5,0.87,18.0,0.0,11.25,0.83,standing
12000,39.0,0.0,18.0,0.0,9.33,1.25,standing
12250,39.25,0.43,19.5,1.12,11.0,1.0,standing
12500,41.25,0.43,21.0,0.0,12.75,0.83,standing
12750,41.75,0.43,20.67,0.47,12.0,0.0,standing
13000,42.0,0.0,20.0,0.71,12.33,0.47,standing
13250,42.33,0.47,19.5,0.5,8.0,0.0,standing
13500,42.0,0.0,19.25,0.83,10.75,1.09,standing
13750,42.0,0.0,19.67,0.47,11.75,0.43,standing
14000,42.0,0.0,20.25,0.43,12.25,0.43,standing
14250,41.5,0.5,21.0,0.0,12.5,0.5,standing
14500,41.25,0.83,21.0,0.0,12.25,0.43,standing
14750,40.5,1.12,20.67,0.47,12.0,0.0,standing
15000,39.5,0.5,21.0,0.0,16.0,0.89,standing
15250,39.5,0.5,20.5,0.5,15.0,0.71,standing
15500,41.0,0.71,19.75,0.43,14.5,0.5,standing
15750,40.75,0.83,18.5,0.5,14.25,0.83,standing
